model,dataset,relative_path,video_sha256,theta,k,sequence_scores,detected,alert_score_index_zero_based,alert_frame_one_based,delay_seconds_at_25fps,alert_rolling_score
lstm_augmented_grouped,RLVS,Violence/V_7.mp4,63d70f5143828b53b40364ad5d72014a956f50a437ff43abaa40e4aea94324d1,0.7,7,11,1,6,50,2.000000,0.951551242
gru_original_grouped,RLVS,Violence/V_7.mp4,63d70f5143828b53b40364ad5d72014a956f50a437ff43abaa40e4aea94324d1,0.65,5,11,1,4,40,1.600000,0.852500117
gru_augmented_grouped,RLVS,Violence/V_7.mp4,63d70f5143828b53b40364ad5d72014a956f50a437ff43abaa40e4aea94324d1,0.65,10,11,1,9,65,2.600000,0.765298918
lstm_original_grouped,RLVS,Violence/V_924.mp4,29d3fd22c4164adc1771d38dc47fcea678b0e6a246dd3d2193f8d661f168dcc3,0.7,5,25,1,4,40,1.600000,0.995508790
lstm_augmented_grouped,RLVS,Violence/V_924.mp4,29d3fd22c4164adc1771d38dc47fcea678b0e6a246dd3d2193f8d661f168dcc3,0.7,7,25,1,6,50,2.000000,0.994182561
gru_original_grouped,RLVS,Violence/V_924.mp4,29d3fd22c4164adc1771d38dc47fcea678b0e6a246dd3d2193f8d661f168dcc3,0.65,5,25,1,4,40,1.600000,0.995613194
gru_augmented_grouped,RLVS,Violence/V_924.mp4,29d3fd22c4164adc1771d38dc47fcea678b0e6a246dd3d2193f8d661f168dcc3,0.65,10,25,1,9,65,2.600000,0.996095830
lstm_original_grouped,RLVS,Violence/V_249.mp4,d9f81c8b5c774982eab82afa76ee0464d6c75bd3c165367d1558568daeb54e13,0.7,5,18,1,4,40,1.600000,0.994573188
lstm_augmented_grouped,RLVS,Violence/V_249.mp4,d9f81c8b5c774982eab82afa76ee0464d6c75bd3c165367d1558568daeb54e13,0.7,7,18,1,6,50,2.000000,0.994644846
gru_original_grouped,RLVS,Violence/V_249.mp4,d9f81c8b5c774982eab82afa76ee0464d6c75bd3c165367d1558568daeb54e13,0.65,5,18,1,4,40,1.600000,0.998599672
gru_augmented_grouped,RLVS,Violence/V_249.mp4,d9f81c8b5c774982eab82afa76ee0464d6c75bd3c165367d1558568daeb54e13,0.65,10,18,1,9,65,2.600000,0.996572262
lstm_original_grouped,RLVS,Violence/V_956.mp4,a16db8c89cf860b743d9e40402376beffc5d18a2da1bba3c027f281898735322,0.7,5,28,1,4,40,1.600000,0.986379886
lstm_augmented_grouped,RLVS,Violence/V_956.mp4,a16db8c89cf860b743d9e40402376beffc5d18a2da1bba3c027f281898735322,0.7,7,28,1,6,50,2.000000,0.964975766
gru_original_grouped,RLVS,Violence/V_956.mp4,a16db8c89cf860b743d9e40402376beffc5d18a2da1bba3c027f281898735322,0.65,5,28,1,4,40,1.600000,0.991379476
gru_augmented_grouped,RLVS,Violence/V_956.mp4,a16db8c89cf860b743d9e40402376beffc5d18a2da1bba3c027f281898735322,0.65,10,28,1,9,65,2.600000,0.990824711
lstm_original_grouped,RLVS,Violence/V_267.mp4,c18b8610d66cb1880c9f1391c07ea4c99b03b3428afc80ded633612dbfe02d9d,0.7,5,31,1,4,40,1.600000,0.963060236
lstm_augmented_grouped,RLVS,Violence/V_267.mp4,c18b8610d66cb1880c9f1391c07ea4c99b03b3428afc80ded633612dbfe02d9d,0.7,7,31,1,6,50,2.000000,0.912324974
gru_original_grouped,RLVS,Violence/V_267.mp4,c18b8610d66cb1880c9f1391c07ea4c99b03b3428afc80ded633612dbfe02d9d,0.65,5,31,1,4,40,1.600000,0.711936700
gru_augmented_grouped,RLVS,Violence/V_267.mp4,c18b8610d66cb1880c9f1391c07ea4c99b03b3428afc80ded633612dbfe02d9d,0.65,10,31,1,9,65,2.600000,0.731113699
lstm_original_grouped,RLVS,Violence/V_3.mp4,d83407671ab3d89c2369d4c24cc2551bd1f461f8c16eb2dded6fca6b52d7534b,0.7,5,31,1,7,55,2.200000,0.705843425
lstm_augmented_grouped,RLVS,Violence/V_3.mp4,d83407671ab3d89c2369d4c24cc2551bd1f461f8c16eb2dded6fca6b52d7534b,0.7,7,31,1,6,50,2.000000,0.846906645
gru_original_grouped,RLVS,Violence/V_3.mp4,d83407671ab3d89c2369d4c24cc2551bd1f461f8c16eb2dded6fca6b52d7534b,0.65,5,31,1,24,140,5.600000,0.723838711
gru_augmented_grouped,RLVS,Violence/V_3.mp4,d83407671ab3d89c2369d4c24cc2551bd1f461f8c16eb2dded6fca6b52d7534b,0.65,10,31,1,28,160,6.400000,0.683119142
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0501.avi,2b10ef215a019f850eb3560cb6251351beeb7bded532f29462c9c39814d75cb7,0.7,5,27,1,4,40,1.600000,0.900573039
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0501.avi,2b10ef215a019f850eb3560cb6251351beeb7bded532f29462c9c39814d75cb7,0.7,7,27,1,6,50,2.000000,0.867594855
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0501.avi,2b10ef215a019f850eb3560cb6251351beeb7bded532f29462c9c39814d75cb7,0.65,5,27,1,4,40,1.600000,0.851127112
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0501.avi,2b10ef215a019f850eb3560cb6251351beeb7bded532f29462c9c39814d75cb7,0.65,10,27,1,9,65,2.600000,0.705019623
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0495.avi,1224b3a5e276b971acc5d6e553781f5445fe27778618fbdc4a2bf5bbe1cc07f5,0.7,5,27,1,11,75,3.000000,0.721280324
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0495.avi,1224b3a5e276b971acc5d6e553781f5445fe27778618fbdc4a2bf5bbe1cc07f5,0.7,7,27,1,10,70,2.800000,0.725351257
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0495.avi,1224b3a5e276b971acc5d6e553781f5445fe27778618fbdc4a2bf5bbe1cc07f5,0.65,5,27,1,10,70,2.800000,0.678630042
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0495.avi,1224b3a5e276b971acc5d6e553781f5445fe27778618fbdc4a2bf5bbe1cc07f5,0.65,10,27,1,11,75,3.000000,0.666389477
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0625.avi,60a7586f76ec7580e1b66eef0d4eacfaa1215a8034324abb02ff6f1c0670804e,0.7,5,27,0,,,,
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0625.avi,60a7586f76ec7580e1b66eef0d4eacfaa1215a8034324abb02ff6f1c0670804e,0.7,7,27,1,11,75,3.000000,0.703967103
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0625.avi,60a7586f76ec7580e1b66eef0d4eacfaa1215a8034324abb02ff6f1c0670804e,0.65,5,27,0,,,,
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0625.avi,60a7586f76ec7580e1b66eef0d4eacfaa1215a8034324abb02ff6f1c0670804e,0.65,10,27,0,,,,
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0488.avi,8a1e2f9e4bf5492f2a76f01bba608dc91508edbe81bcaeca4ec20fb066189205,0.7,5,27,1,6,50,2.000000,0.720377815
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0488.avi,8a1e2f9e4bf5492f2a76f01bba608dc91508edbe81bcaeca4ec20fb066189205,0.7,7,27,1,6,50,2.000000,0.785666806
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0488.avi,8a1e2f9e4bf5492f2a76f01bba608dc91508edbe81bcaeca4ec20fb066189205,0.65,5,27,1,7,55,2.200000,0.694844365
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0488.avi,8a1e2f9e4bf5492f2a76f01bba608dc91508edbe81bcaeca4ec20fb066189205,0.65,10,27,1,9,65,2.600000,0.705317295
lstm_original_grouped,RLVS,Violence/V_222.mp4,401c305f1aa3bfb7f0769f62870e3f551dc702a9d0e89b3d09fd5004e3aca47d,0.7,5,27,1,4,40,1.600000,0.771740234
lstm_augmented_grouped,RLVS,Violence/V_222.mp4,401c305f1aa3bfb7f0769f62870e3f551dc702a9d0e89b3d09fd5004e3aca47d,0.7,7,27,1,6,50,2.000000,0.822257251
gru_original_grouped,RLVS,Violence/V_222.mp4,401c305f1aa3bfb7f0769f62870e3f551dc702a9d0e89b3d09fd5004e3aca47d,0.65,5,27,1,4,40,1.600000,0.783285850
gru_augmented_grouped,RLVS,Violence/V_222.mp4,401c305f1aa3bfb7f0769f62870e3f551dc702a9d0e89b3d09fd5004e3aca47d,0.65,10,27,1,9,65,2.600000,0.915222639
lstm_original_grouped,RLVS,Violence/V_45.mp4,88c21f5a7e8688b3f15521d4604fd4cf52ca6671d838d367d7f74c9d1f76b05f,0.7,5,16,1,4,40,1.600000,0.989998734
lstm_augmented_grouped,RLVS,Violence/V_45.mp4,88c21f5a7e8688b3f15521d4604fd4cf52ca6671d838d367d7f74c9d1f76b05f,0.7,7,16,1,6,50,2.000000,0.986375928
gru_original_grouped,RLVS,Violence/V_45.mp4,88c21f5a7e8688b3f15521d4604fd4cf52ca6671d838d367d7f74c9d1f76b05f,0.65,5,16,1,4,40,1.600000,0.993680775
gru_augmented_grouped,RLVS,Violence/V_45.mp4,88c21f5a7e8688b3f15521d4604fd4cf52ca6671d838d367d7f74c9d1f76b05f,0.65,10,16,1,9,65,2.600000,0.989945114
lstm_original_grouped,RLVS,Violence/V_334.mp4,901b57e6e93d7fa34a2650307ea54bf8a881905ef30f8a44d8adf028de6166c6,0.7,5,19,1,4,40,1.600000,0.975089407
lstm_augmented_grouped,RLVS,Violence/V_334.mp4,901b57e6e93d7fa34a2650307ea54bf8a881905ef30f8a44d8adf028de6166c6,0.7,7,19,1,6,50,2.000000,0.973121907
gru_original_grouped,RLVS,Violence/V_334.mp4,901b57e6e93d7fa34a2650307ea54bf8a881905ef30f8a44d8adf028de6166c6,0.65,5,19,1,4,40,1.600000,0.982892203
gru_augmented_grouped,RLVS,Violence/V_334.mp4,901b57e6e93d7fa34a2650307ea54bf8a881905ef30f8a44d8adf028de6166c6,0.65,10,19,1,9,65,2.600000,0.967737311
lstm_original_grouped,RLVS,Violence/V_295.mp4,96f5a4d2177fd35cd96da33a60495b490861602051fb02d2d1c13d9b8c990a68,0.7,5,28,1,4,40,1.600000,0.980903530
lstm_augmented_grouped,RLVS,Violence/V_295.mp4,96f5a4d2177fd35cd96da33a60495b490861602051fb02d2d1c13d9b8c990a68,0.7,7,28,1,6,50,2.000000,0.971473779
gru_original_grouped,RLVS,Violence/V_295.mp4,96f5a4d2177fd35cd96da33a60495b490861602051fb02d2d1c13d9b8c990a68,0.65,5,28,1,4,40,1.600000,0.977071607
gru_augmented_grouped,RLVS,Violence/V_295.mp4,96f5a4d2177fd35cd96da33a60495b490861602051fb02d2d1c13d9b8c990a68,0.65,10,28,1,9,65,2.600000,0.981695694
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0055.avi,3e2ed1d727fdd3ba7f691c8661aea9062cb0ae5b9cf7c9b3b6453224da917e41,0.7,5,27,1,4,40,1.600000,0.923668432
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0055.avi,3e2ed1d727fdd3ba7f691c8661aea9062cb0ae5b9cf7c9b3b6453224da917e41,0.7,7,27,1,6,50,2.000000,0.935994370
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0055.avi,3e2ed1d727fdd3ba7f691c8661aea9062cb0ae5b9cf7c9b3b6453224da917e41,0.65,5,27,1,4,40,1.600000,0.729467583
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0055.avi,3e2ed1d727fdd3ba7f691c8661aea9062cb0ae5b9cf7c9b3b6453224da917e41,0.65,10,27,0,,,,
lstm_original_grouped,RLVS,Violence/V_34.mp4,c431a95c4a3eaff9c0b51a4130f6fd647353c90b0b45242ad45e3a10b6e6d271,0.7,5,25,1,4,40,1.600000,0.974765658
lstm_augmented_grouped,RLVS,Violence/V_34.mp4,c431a95c4a3eaff9c0b51a4130f6fd647353c90b0b45242ad45e3a10b6e6d271,0.7,7,25,1,6,50,2.000000,0.962075285
gru_original_grouped,RLVS,Violence/V_34.mp4,c431a95c4a3eaff9c0b51a4130f6fd647353c90b0b45242ad45e3a10b6e6d271,0.65,5,25,1,4,40,1.600000,0.784577554
gru_augmented_grouped,RLVS,Violence/V_34.mp4,c431a95c4a3eaff9c0b51a4130f6fd647353c90b0b45242ad45e3a10b6e6d271,0.65,10,25,1,9,65,2.600000,0.933989763
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0113.avi,fa7100bc301bedf1d0b241375abdd82e59e0d7943d365748d4c7181174c9573f,0.7,5,27,1,9,65,2.600000,0.704808474
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0113.avi,fa7100bc301bedf1d0b241375abdd82e59e0d7943d365748d4c7181174c9573f,0.7,7,27,1,6,50,2.000000,0.721960374
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0113.avi,fa7100bc301bedf1d0b241375abdd82e59e0d7943d365748d4c7181174c9573f,0.65,5,27,1,9,65,2.600000,0.658320296
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0113.avi,fa7100bc301bedf1d0b241375abdd82e59e0d7943d365748d4c7181174c9573f,0.65,10,27,0,,,,
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0292.avi,ae3d60098a74435030ef6672a019becec1bf9caefab6d671da2680ee7149461a,0.7,5,27,0,,,,
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0292.avi,ae3d60098a74435030ef6672a019becec1bf9caefab6d671da2680ee7149461a,0.7,7,27,0,,,,
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0292.avi,ae3d60098a74435030ef6672a019becec1bf9caefab6d671da2680ee7149461a,0.65,5,27,1,10,70,2.800000,0.653566957
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0292.avi,ae3d60098a74435030ef6672a019becec1bf9caefab6d671da2680ee7149461a,0.65,10,27,1,9,65,2.600000,0.692774725
lstm_original_grouped,RLVS,Violence/V_164.mp4,ebd9d8071b1f1d41b2a701dd91f7359363c4830771f02de72d52c7a448e8ec8e,0.7,5,18,1,4,40,1.600000,0.991274607
lstm_augmented_grouped,RLVS,Violence/V_164.mp4,ebd9d8071b1f1d41b2a701dd91f7359363c4830771f02de72d52c7a448e8ec8e,0.7,7,18,1,6,50,2.000000,0.986479146
gru_original_grouped,RLVS,Violence/V_164.mp4,ebd9d8071b1f1d41b2a701dd91f7359363c4830771f02de72d52c7a448e8ec8e,0.65,5,18,1,4,40,1.600000,0.991179430
gru_augmented_grouped,RLVS,Violence/V_164.mp4,ebd9d8071b1f1d41b2a701dd91f7359363c4830771f02de72d52c7a448e8ec8e,0.65,10,18,1,9,65,2.600000,0.987091511
lstm_original_grouped,RLVS,Violence/V_462.mp4,4709f5972fe2025e57ae849beac647c7aa9e69bc891c6d2f557bf934502df4af,0.7,5,34,1,4,40,1.600000,0.887689888
lstm_augmented_grouped,RLVS,Violence/V_462.mp4,4709f5972fe2025e57ae849beac647c7aa9e69bc891c6d2f557bf934502df4af,0.7,7,34,1,6,50,2.000000,0.896872469
gru_original_grouped,RLVS,Violence/V_462.mp4,4709f5972fe2025e57ae849beac647c7aa9e69bc891c6d2f557bf934502df4af,0.65,5,34,1,4,40,1.600000,0.816056263
gru_augmented_grouped,RLVS,Violence/V_462.mp4,4709f5972fe2025e57ae849beac647c7aa9e69bc891c6d2f557bf934502df4af,0.65,10,34,1,9,65,2.600000,0.763581073
lstm_original_grouped,RWF-2000,val/Fight/rwf_val_fight_0110.avi,06c860dcfc461f74e9d48add2ab53947d500dc1cb1bce99b292478d8a4a959ae,0.7,5,27,1,4,40,1.600000,0.824312878
lstm_augmented_grouped,RWF-2000,val/Fight/rwf_val_fight_0110.avi,06c860dcfc461f74e9d48add2ab53947d500dc1cb1bce99b292478d8a4a959ae,0.7,7,27,1,9,65,2.600000,0.762142122
gru_original_grouped,RWF-2000,val/Fight/rwf_val_fight_0110.avi,06c860dcfc461f74e9d48add2ab53947d500dc1cb1bce99b292478d8a4a959ae,0.65,5,27,1,7,55,2.200000,0.661257464
gru_augmented_grouped,RWF-2000,val/Fight/rwf_val_fight_0110.avi,06c860dcfc461f74e9d48add2ab53947d500dc1cb1bce99b292478d8a4a959ae,0.65,10,27,0,,,,
lstm_original_grouped,RLVS,Violence/V_914.mp4,35563399e3dcd1160c5b11d664448f089eed11956deaeb598145dd045ca36e70,0.7,5,28,1,4,40,1.600000,0.989796853
lstm_augmented_grouped,RLVS,Violence/V_914.mp4,35563399e3dcd1160c5b11d664448f089eed11956deaeb598145dd045ca36e70,0.7,7,28,1,6,50,2.000000,0.982928983
gru_original_grouped,RLVS,Violence/V_914.mp4,35563399e3dcd1160c5b11d664448f089eed11956deaeb598145dd045ca36e70,0.65,5,28,1,4,40,1.600000,0.914185870
gru_augmented_grouped,RLVS,Violence/V_914.mp4,35563399e3dcd1160c5b11d664448f089eed11956deaeb598145dd045ca36e70,0.65,10,28,1,9,65,2.600000,0.958201098
lstm_original_grouped,RLVS,Violence/V_390.mp4,0a57bb38141ea27df868cff6a9d72aebf5faf2b0e25714ec650fdc477881b09e,0.7,5,27,1,4,40,1.600000,0.962690699
lstm_augmented_grouped,RLVS,Violence/V_390.mp4,0a57bb38141ea27df868cff6a9d72aebf5faf2b0e25714ec650fdc477881b09e,0.7,7,27,1,6,50,2.000000,0.929382886
gru_original_grouped,RLVS,Violence/V_390.mp4,0a57bb38141ea27df868cff6a9d72aebf5faf2b0e25714ec650fdc477881b09e,0.65,5,27,1,4,40,1.600000,0.962003863
gru_augmented_grouped,RLVS,Violence/V_390.mp4,0a57bb38141ea27df868cff6a9d72aebf5faf2b0e25714ec650fdc477881b09e,0.65,10,27,1,9,65,2.600000,0.989433020
lstm_original_grouped,RWF-2000,val/Fight/rwf_val_fight_0150.avi,79626bf77fab968d855f1e97cdd853cef163d32013eb0095f0f1da6461946009,0.7,5,27,1,4,40,1.600000,0.988244116
lstm_augmented_grouped,RWF-2000,val/Fight/rwf_val_fight_0150.avi,79626bf77fab968d855f1e97cdd853cef163d32013eb0095f0f1da6461946009,0.7,7,27,1,6,50,2.000000,0.981473088
gru_original_grouped,RWF-2000,val/Fight/rwf_val_fight_0150.avi,79626bf77fab968d855f1e97cdd853cef163d32013eb0095f0f1da6461946009,0.65,5,27,1,4,40,1.600000,0.973006451
gru_augmented_grouped,RWF-2000,val/Fight/rwf_val_fight_0150.avi,79626bf77fab968d855f1e97cdd853cef163d32013eb0095f0f1da6461946009,0.65,10,27,1,9,65,2.600000,0.939548475
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0165.avi,02f86008985a7d9d0fa2c4b35263096fb836b5100636622702bca4389a9d37f8,0.7,5,27,1,4,40,1.600000,0.781256151
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0165.avi,02f86008985a7d9d0fa2c4b35263096fb836b5100636622702bca4389a9d37f8,0.7,7,27,1,6,50,2.000000,0.899824781
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0165.avi,02f86008985a7d9d0fa2c4b35263096fb836b5100636622702bca4389a9d37f8,0.65,5,27,1,4,40,1.600000,0.879601359
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0165.avi,02f86008985a7d9d0fa2c4b35263096fb836b5100636622702bca4389a9d37f8,0.65,10,27,1,9,65,2.600000,0.866016889
lstm_original_grouped,RLVS,Violence/V_300.mp4,ffab78d3f292df85df067ab2d80367fddfef9e1b67af25d5bea7b927ea45c650,0.7,5,36,1,4,40,1.600000,0.988835680
lstm_augmented_grouped,RLVS,Violence/V_300.mp4,ffab78d3f292df85df067ab2d80367fddfef9e1b67af25d5bea7b927ea45c650,0.7,7,36,1,6,50,2.000000,0.982289468
gru_original_grouped,RLVS,Violence/V_300.mp4,ffab78d3f292df85df067ab2d80367fddfef9e1b67af25d5bea7b927ea45c650,0.65,5,36,1,4,40,1.600000,0.943703830
gru_augmented_grouped,RLVS,Violence/V_300.mp4,ffab78d3f292df85df067ab2d80367fddfef9e1b67af25d5bea7b927ea45c650,0.65,10,36,1,9,65,2.600000,0.928993243
lstm_original_grouped,RWF-2000,val/Fight/rwf_val_fight_0166.avi,ed6b897b58efc07a60dd8a7a18273c52f9ef5e2418ba68e2e47ebf3343293a08,0.7,5,27,1,4,40,1.600000,0.889703619
lstm_augmented_grouped,RWF-2000,val/Fight/rwf_val_fight_0166.avi,ed6b897b58efc07a60dd8a7a18273c52f9ef5e2418ba68e2e47ebf3343293a08,0.7,7,27,1,6,50,2.000000,0.839756642
gru_original_grouped,RWF-2000,val/Fight/rwf_val_fight_0166.avi,ed6b897b58efc07a60dd8a7a18273c52f9ef5e2418ba68e2e47ebf3343293a08,0.65,5,27,1,4,40,1.600000,0.841728234
gru_augmented_grouped,RWF-2000,val/Fight/rwf_val_fight_0166.avi,ed6b897b58efc07a60dd8a7a18273c52f9ef5e2418ba68e2e47ebf3343293a08,0.65,10,27,1,9,65,2.600000,0.863643533
lstm_original_grouped,RLVS,Violence/V_652.mp4,80a1c1613e53871efeff289067fa4dd10e9215d520218a5c20364d5e304bd37e,0.7,5,22,1,4,40,1.600000,0.964324772
lstm_augmented_grouped,RLVS,Violence/V_652.mp4,80a1c1613e53871efeff289067fa4dd10e9215d520218a5c20364d5e304bd37e,0.7,7,22,1,6,50,2.000000,0.921547524
gru_original_grouped,RLVS,Violence/V_652.mp4,80a1c1613e53871efeff289067fa4dd10e9215d520218a5c20364d5e304bd37e,0.65,5,22,1,4,40,1.600000,0.988693345
gru_augmented_grouped,RLVS,Violence/V_652.mp4,80a1c1613e53871efeff289067fa4dd10e9215d520218a5c20364d5e304bd37e,0.65,10,22,1,9,65,2.600000,0.979625833
lstm_original_grouped,RWF-2000,val/Fight/rwf_val_fight_0021.avi,542657767e6a5f0d7785dece4f89e9b74473a7b1c5344720e1f77dfce05c7da1,0.7,5,27,1,4,40,1.600000,0.975958908
lstm_augmented_grouped,RWF-2000,val/Fight/rwf_val_fight_0021.avi,542657767e6a5f0d7785dece4f89e9b74473a7b1c5344720e1f77dfce05c7da1,0.7,7,27,1,6,50,2.000000,0.904222012
gru_original_grouped,RWF-2000,val/Fight/rwf_val_fight_0021.avi,542657767e6a5f0d7785dece4f89e9b74473a7b1c5344720e1f77dfce05c7da1,0.65,5,27,1,4,40,1.600000,0.951690578
gru_augmented_grouped,RWF-2000,val/Fight/rwf_val_fight_0021.avi,542657767e6a5f0d7785dece4f89e9b74473a7b1c5344720e1f77dfce05c7da1,0.65,10,27,1,9,65,2.600000,0.955349314
lstm_original_grouped,RLVS,Violence/V_184.mp4,fd343be87259c0b405168275edb60fa8eff78f95a6ea023b69580df10aa774a2,0.7,5,30,1,4,40,1.600000,0.987138712
lstm_augmented_grouped,RLVS,Violence/V_184.mp4,fd343be87259c0b405168275edb60fa8eff78f95a6ea023b69580df10aa774a2,0.7,7,30,1,6,50,2.000000,0.984037927
gru_original_grouped,RLVS,Violence/V_184.mp4,fd343be87259c0b405168275edb60fa8eff78f95a6ea023b69580df10aa774a2,0.65,5,30,1,4,40,1.600000,0.992250466
gru_augmented_grouped,RLVS,Violence/V_184.mp4,fd343be87259c0b405168275edb60fa8eff78f95a6ea023b69580df10aa774a2,0.65,10,30,1,9,65,2.600000,0.988663083
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0310.avi,1764f7af1ffdc5138ccc15d62919f6a3b03ef49598bed71a6b2486cddbb4585e,0.7,5,27,1,4,40,1.600000,0.760116136
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0310.avi,1764f7af1ffdc5138ccc15d62919f6a3b03ef49598bed71a6b2486cddbb4585e,0.7,7,27,1,6,50,2.000000,0.725579645
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0310.avi,1764f7af1ffdc5138ccc15d62919f6a3b03ef49598bed71a6b2486cddbb4585e,0.65,5,27,1,21,125,5.000000,0.657804084
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0310.avi,1764f7af1ffdc5138ccc15d62919f6a3b03ef49598bed71a6b2486cddbb4585e,0.65,10,27,0,,,,
lstm_original_grouped,RLVS,Violence/V_77.mp4,8ae4fd311adcf6f1b82cad146418d14cd4981f134199b49c6dc21a49cf7ab9f1,0.7,5,27,1,4,40,1.600000,0.870323098
lstm_augmented_grouped,RLVS,Violence/V_77.mp4,8ae4fd311adcf6f1b82cad146418d14cd4981f134199b49c6dc21a49cf7ab9f1,0.7,7,27,1,6,50,2.000000,0.860418822
gru_original_grouped,RLVS,Violence/V_77.mp4,8ae4fd311adcf6f1b82cad146418d14cd4981f134199b49c6dc21a49cf7ab9f1,0.65,5,27,1,4,40,1.600000,0.787635875
gru_augmented_grouped,RLVS,Violence/V_77.mp4,8ae4fd311adcf6f1b82cad146418d14cd4981f134199b49c6dc21a49cf7ab9f1,0.65,10,27,1,9,65,2.600000,0.762102175
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0039.avi,dd0ff78ea0cb7906037e50ee1143207ddef661aa1181c6626cb523b6adc68bd7,0.7,5,27,1,4,40,1.600000,0.956239641
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0039.avi,dd0ff78ea0cb7906037e50ee1143207ddef661aa1181c6626cb523b6adc68bd7,0.7,7,27,1,6,50,2.000000,0.940270943
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0039.avi,dd0ff78ea0cb7906037e50ee1143207ddef661aa1181c6626cb523b6adc68bd7,0.65,5,27,1,4,40,1.600000,0.928998482
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0039.avi,dd0ff78ea0cb7906037e50ee1143207ddef661aa1181c6626cb523b6adc68bd7,0.65,10,27,1,9,65,2.600000,0.887251633
lstm_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0236.avi,6b8ddc71a335c0e54ccea6ff2f52cfa0a123b16855f9c5d4b88f46d552a1418e,0.7,5,27,0,,,,
lstm_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0236.avi,6b8ddc71a335c0e54ccea6ff2f52cfa0a123b16855f9c5d4b88f46d552a1418e,0.7,7,27,0,,,,
gru_original_grouped,RWF-2000,train/Fight/rwf_train_fight_0236.avi,6b8ddc71a335c0e54ccea6ff2f52cfa0a123b16855f9c5d4b88f46d552a1418e,0.65,5,27,0,,,,
gru_augmented_grouped,RWF-2000,train/Fight/rwf_train_fight_0236.avi,6b8ddc71a335c0e54ccea6ff2f52cfa0a123b16855f9c5d4b88f46d552a1418e,0.65,10,27,1,9,65,2.600000,0.749184430
lstm_original_grouped,RLVS,Violence/V_928.mp4,d92d7f559defc5c5ea443a14d120936085516d1d7308f083e71d35015afe1162,0.7,5,27,1,4,40,1.600000,0.985477197
lstm_augmented_grouped,RLVS,Violence/V_928.mp4,d92d7f559defc5c5ea443a14d120936085516d1d7308f083e71d35015afe1162,0.7,7,27,1,6,50,2.000000,0.983428504
gru_original_grouped,RLVS,Violence/V_928.mp4,d92d7f559defc5c5ea443a14d120936085516d1d7308f083e71d35015afe1162,0.65,5,27,1,4,40,1.600000,0.991259336
gru_augmented_grouped,RLVS,Violence/V_928.mp4,d92d7f559defc5c5ea443a14d120936085516d1d7308f083e71d35015afe1162,0.65,10,27,1,9,65,2.600000,0.992709792
lstm_original_grouped,RLVS,Violence/V_763.mp4,612bbaa314c952438c6b0bbceb2c0ce5b90dde471302851b4cd169bde35b94a1,0.7,5,22,1,4,40,1.600000,0.862967241
